客戶代號	客戶名稱	電話	傳真	價格傳真/備註	客戶統編
AAE005	全勝祥-復興店	02-27068488	02-87911992	Clean up 吳先生0938-692262	
AAE005-01	全勝祥-內湖店005-01	02-87923949	02-87911992	Clean up	
AAE005-007	業主維修(全勝祥)				
AAE005-008	小紀-個人				
AAF007	禹臣-007AAF	03-6572012	03-6572262		
AAG008	璞舍-008AAG	02-27608959	02-27608938		
AAH009	竹桓-009	02-25072808	02-25182257	Clean up	
AAH009-01	門市店樣+竹桓				
AAH009-004	竹桓-龜山合遠建設				
	竹桓倉儲-蔡小姐	03-3183966			
	竹桓倉儲-張先生	0939-098245			
AAH009-002	鴻築建設+竹桓	為了沖帳	為了沖帳		
AAH009-003	合達建設+竹桓	為了沖帳	為了沖帳		
AAH009-005	合遠建設+竹桓	為了沖帳	為了沖帳		
AAH009-006	合遠善捷+竹桓	為了沖帳	為了沖帳		
AAH009-007	合遠建設青溪段(竹桓)	為了沖帳	為了沖帳		
AAH009-000	竹桓-台南門市	02-25072809	02-25182258		
AAH009-009	竹桓南部案場(峻益帳)代請款				
AAH009-008	竹桓中部案場(峻砷帳)代請款				
AAI010	麥斯-010AAI	02-25167587	02-25167469		
AAI010-001	門市店樣+麥斯				
AAI010-002	業主維修(麥斯)				
AAJ019	貝里司019AAJ	02-26186022	02-26186023	Clean up	
AAJ019-001	業主-貝里司				
AAJ019-003	貝里司(BOSS)家				
AAK012	三商美福-012AAK	02-21831633	02-21831632		
AAL013	義葳德-013AAL	02-87807772	02-87807773		
AAL013-01	義葳德-張烜維				
AAM011	當代-011AAM	02-27065000	02-27064000		
AAN014	櫻花廚藝-總公司-014AAN	04-23334214	04-23330075	改ㄇ鋁2.5CM	
AAN014-00	櫻花-北區營業所AAN	02-26940564	02-26940140		
AAN014-01	櫻花-耕莘店AAN	02-29178538	02-89112787		
AAN014-02	櫻花-忠誠店AAN	02-28310007	02-28315565		
AAN014-03	櫻花-林口店AAN	02-26017688	02-26017677		
AAN014-04	櫻花-經國店AAN	03-5336358	03-5332892		
AAN014-05	櫻花-台中復興店AAN	04-22658989	04-22615959		
AAN014-06	櫻花-頭份店AAN	037-689669	037-689368	餘料留給業主(4邊磨3MM)	
AAN014-07	櫻花-永和中正店AAN	02-22312555	02-22313111		
AAN014-08	櫻花-秀朗店014-08AAN	02-29233452	02-29233554		
AAN014-09	櫻花-中央店AAN	02-22620462	02-22737485		
AAN014-10	櫻花-金城店AAN	02-22701916	02-22709381		
AAN014-11	櫻花-蘆洲長安店AAN	02-22892368	02-22891258		
AAN014-12	櫻花-食品店(新竹)AAN	03-5624689			
AAN014-13	櫻花-福州店AAN	03-4375500	03-4373300		
AAN014-14	櫻花-北大店AAN	03-5223689	03-5223087		
AAN014-8	業主維修(櫻花)				
AAO017	星光-017AAO	03-5337171	03-5342614		
					
AAP018	尊廚018AAP	02-2700-3606	02-2755-2850		
AAQ022	天母SOGO-022AAQ				
AAR016	維多利-016AAR	02-2936-2798	02-2936-2798		
AAR016-001	業主維修(維多利)				
AAS015	美岡-015AAS	02-26015855	02-26022287		
AAT016-01	漢斯-台北AAT	02-25082799	02-25082199		
AAT016-01	漢斯-林口AAT	02-26085769	02-25085796		
AAU020-01	金鼎-仁愛路-020AAU	02-29091922	02-29002773		
AAU020-01	金鼎-大科路-020AAU	02-27045518	02-27045519		
AAV021	磬寶-021AAV	03-338-0888	03-338-1888		
AAV021-01	磬寶-德安-021AAV	02-22923737	02-22923131		
AAW023	德奧-023AAW	02-27522266	02-27528003		
AAX024	格蘭登(新竹店)024AAX	03-5330367	03-5436169		
AAX024-01	格蘭登(台北店)024-01AAX	"02-2771-9058
02-2771-8102"	02-27718486	C把3.5	
AAX024-02	賴綉梅0934-337-002(格蘭登)				
AAY025	志信-025AAY	02-27110569	02-27110559		
AAZ026	歐柏特-026AAZ	02-23640688	02-23642506		
AAZ026-001	門市-歐柏特	02-23640688	02-23642506		
ABA027	康廚-027ABA	02-82586199	02-22505099		
ABB028	博爵-028ABB	03-6565277	03-6565278		
ABB028-CU	跟業主收款(博爵)	為了沖帳勿刪	為了沖帳勿刪		
ABB028-04	美紳建設光華段水田街(博爵)	為了沖帳勿刪	為了沖帳勿刪		
ABB028-05	圓湖建設(博爵)	為了沖帳勿刪	為了沖帳勿刪		
ABB028-07	美紳建設嘉豐五路(博爵)	為了沖帳勿刪	為了沖帳勿刪		
ABC029	橋泰-029ABC	02-29061912	02-29042491		
ABD030	漢鑫-030ABD	02-25637921	02-25816770		
ABE031	歐寶-031ABE	02-27045518	02-27045519		
ABF032	漢諾-032ABF	03-3586969	03-3550567	合計X1.05 含稅價	
ABG033	築昂-033ABG	03-5315666	03-5333111	水槽爐子餘料保留	
ABH034	采邑-034	03-5328699	03-5313899	Clean up	
ABH034-01	業主-采邑				
ABI035	通選-035ABI	03-3660790	03-3661209	Clean up	
ABI035-002	業主維修-通選				
ABI035-003	仕霖建設+通選				
ABI035-004	元臺建設-通選				
ABI035-005	元臺聚-通選				
ABJ036	歐向-036ABJ	03-3752225	03-3752966		
ABK037	德久-新莊-037ABK	02-22932737	02-22932839		
ABK037-01	德久-竹北-037-01ABK	03-6682337	03-6682338	03-3550306孫S	
ABK037-02	德久-台中-037-02ABK	04-24211837	04-24211822		
ABK037-003	業主維修(德久)				
ABL038	麗豪-038ABL	02-28928116	02-28969930		
ABL038-001	科政廷-麗豪ABL	0913-879-227	寄mail		
ABM039	麗舍039ABM	02-25467575	"02-27186948
02-27186500"	檯面凸水槽0.2/圖給堯Line	
ABM039-002	業主維修				
ABM039-003	麗舍-台中店ABM	04-24529009	04-24510209		
ABM039-004	 麗舍工地	07-2810088	07-2810077		
ABM039-005	麗舍-新竹ABM	03-5588626	03-5588922		
ABM039-009-001	陽明致遠(麗舍)	為了沖帳勿刪			
ABM039-009-002	靜安樹語(麗舍)	為了沖帳勿刪			
ABM039-009-003	揚昇松韻(麗舍)
	為了沖帳勿刪			
ABM039-006	頂畫設計(黃承彥)039ABM	0909-362-326		收全額才能下單	
ABM039-011	門市-頂畫設計(黃承彥)			收全額才能下單	
ABN040-00	適邑(程加程設計)ABN	03-6581357	03-6581358	已改名	
ABN040-01	適邑-桃園-040ABN	03-3749000	03-3749900	已改名	
ABN040-02	適邑ABN	02-27902901	02-27902981		
ABN-040-1-0	業主維修+適邑ABN				
ABO041	美訊-041ABO	02-27005565	02-27036740		
ABP042	金歐-042ABP	02-33221777	02-23216253		
ABQ043-00	信維昌-043ABQ	02-29349527	02-29349525		
ABQ043-01	信維昌-尤小姐-043ABQ	02-29349527	02-26908117		
ABR044	艾柏漢-044ABR	02-29888850	02-29889967		
ABR044-001	 業主維修(艾柏漢)				
ABS045	大唐-045ABS	03-8580616	03-8580396		
ABT046	呈翁-046ABT	02-25090875	02-25090879		
ABU047	新瑞(信廣源)-047ABU	02-26107806	02-26107805		
ABV048	龍樺-048ABV	04-92563176	04-92563177		
ABW049	展芃-049ABW	03-5540001	03-5540003	"水槽都做切齊
sunwave要問(附保證書)"	
"ABW049-001
"	展芃門市				
ABW049-002	業主維修(展芃)				
ABX050	得廚-中部-050ABX				
ABY051	誠宏企業社(雅登新竹)-051ABY	03-533-6690	03-533-3271		
ABY051-00	雅登-內湖店-051ABY	02-87911062	02-27905758		
ABY051-01	雅登-總公司-051ABY(北投店)	"02-28946006
02-28971616"	"02-28927226
02-28931342"		
ABY051-02	雅登-金樣-051ABY	02-28322650	02-28327542		
ABY051-03	雅登-亨巨-051(民生)ABY	02-25094906	02-25056085		
ABY051-03-1	雅登-亨巨-051(和平西路)ABY	02-23685091	02-23687698	clean up	
ABY051-3-2	業主維修(亨巨)	為了沖帳勿刪			
ABY051-04	雅登-松山-051-04ABY	02-29126860	02-29126890	不含清運垃圾(費用另計)	
ABY051-05	雅登-天母-051(星普家居)ABY	02-88661414	02-88661341	機器處倒包9公分(水凸3mm)	
ABY051-50	門市-雅登天母(星普家居)				
ABY051-06	雅登-三重-051ABY	02-28570753			
ABY051-07	雅登-鄭小姐0933-021-285	02-23770909	02-23774889		
ABY051-08	雅登-忠孝店-051(展丞)ABY	02-27839191	02-27881919		
ABY051-09	雅登-新莊店(櫃華)051-09ABY	02-85213282	02-85213283		
ABY051-10	雅登-塔攸塔051-10ABY				
ABY051-11	雅登-中和店051-11ABY	02-2942-0228	02-2942-0238		
				殷子凡0987-697-345	
ABY051-51	業主維修				
AVZ052	櫥域-052AVZ	02-87926072	02-87926041	約安裝時間跟官方賴約,不要跟業務約	
AVZ052-01	櫥域-052劉先生	0935-012-586			
AVZ052-03	業主-櫥域				
ACA053-00	柏迪-053ACA	02-28288666	02-28270436		
ACA053-01	家樂美-053ACA	02-28361918	02-28361871		
ACB054	瓦都-054ACB	02-29958600	02-29958611		
ACC055	零售-055ACC				
ACC055-105	紙月家飾105ACC	02-27011572	02-27038894		
ACC055-106	宏瑞106ACC	04-92569587	04-92564608		
ACC055-107	商富107ACC	0927-407-973	0927-407-973		
ACC055-108	BEST108ACC				
ACC055-109	楊家斌109ACC	0935-056-055			
ACC055-110	小玉110ACC	0910-931-994			
ACC055-111	塗和池111ACC				
ACC055-112	樊家和(樊小姐)112ACC	0936-588-055	02-88094168		
ACC055-113	李先生113ACC	0910-286-567			
ACC055-114	邱先生114ACC	0920-075-003	02-25814955		
ACC055-115	黃經理115ACC	0988-157-666			
ACC055-116	陳文賢116ACC	0977-462-788			
ACC055-117	陳修毫(翰亞)117ACC		0952-900-316		
ACC055-118	楊曉村118ACC	0989-924-001			
ACC055-119	顏憲權119ACC				
ACC055-120	富美家120ACC	02-2515-1017*236	02-25170542		
ACC055-121	林小姐121ACC	02-23217568			
ACC055-122	蘇國慶弟弟122ACC	0980-710-501			
ACC055-123	陳永清123ACC	0987-978-752			
ACC055-124	吳存達124ACC	03-2228680	03-3211482		
ACC055-125	陳揅軒125ACC	0977-385-102			
ACC055-126	潘國榮126ACC	0975-198-278	02-28927226		
ACC055-127	利誠歐式廚具行055-127ACC	06-2754833	06-2366761	0933-339-009	
ACC055-128	江先生128ACC	0910-208-238			
ACC055-129	何設計師129ACC	0956-264-614			
ACC055-130	郭銘漧130ACC	0983-561-950			
ACC055-131	王家騏131ACC	0916-315-569			
ACC055-132	洪小姐132ACC	0956-206-319			
ACC055-133	陳惠圓(已重編一間設計)133ACC	02-25636060#307	02-29436091	0937-467-692	
ACC055-134	王小姐134ACC	0955-052-468			
ACC055-135	連程135ACC	02-26029016	02-29008457		
ACC055-136	劉芷瑋136ACC	0975-221-923	03-3201249		
ACC055-137	鄭麗選137ACC				
ACC055-138	廖興龍138ACC	0936-032-501			
ACC055-139	張季徽139ACC				
ACC055-140	方太太140ACC	0938-118-885			
ACC055-141	廣鈺141ACC	07-3525099	07-3530927		
ACC055-142	阿月生魚片店142ACC	03-4288807		0930-351-905	
ACC055-143	李小姐(台灣儷寶)143ACC	"0919-414-943
 0982-576-566"			
ACC055-144	徐玉燕144ACC	0928-777-345			
ACC055-145	遠企黃副總145ACC	0937-952-911			
ACC055-146	陳建廷146ACC	0963-009-693			
ACC055-147	裝修工程孫R-147ACC	0919-916-757			
ACC055-148	吳辰威Moking055-148ACC	0911-217-113		全勝祥	
ACC055-149	連程-陳欣福149ACC	0989-768-098			
ACC055-150	林漢嘉150ACC	0932-939-561			
ACC055-151	明哲哥哥151ACC	0926-505-102			
ACC055-152	林怡君152ACC	0989-772-933			
ACC055-153	謝帛軒153ACC	0930-624-125	02-2609-9023		
ACC055-154	東拓154ACC	03-3240667	03-3243459		
ACC055-155	陳董事長-昕昇業主155ACC				
ACC055-156	雅典娜156ACC	03-4531578	03-4531911		
ACC055-157	德廚157ACC	02-27526152	02-27761036		
ACC055-158	劉三五金158ACC	02-23685166	02-23685089		
ACC055-159	樂筱玉159ACC	0933-897-015			
ACC055-160	德寶(游先生)160ACC	0921-176-087			
ACC055-161	亮麗161ACC	0938-575-883			
ACC055-162	張瑞忠162ACC(找BFP830)	0920-506-287			
ACC055-163	姜正傑163ACC	0961-131-138			
ACC055-164	黃鈺雯164ACC	0939-517-053			
ACC055-165	陳文發165ACC	0988-238-569			
ACC055-177	潘木匠-興橋保險ACC	0928-145-080			
ACC055-178	潘木匠-烏日ACC	0928-145-080			
ACC055-179	哥德-藍嘉翔179ACC	0975-107-086			
ACC055-180	小羅-180ACC	0926-600-950			
ACC055-181	王小姐181ACC	0922-734-333			
ACC055-182	興立富182ACC	02-23250289	02-23250279		
ACC055-183	吳秀枝(三商)183ACC				
ACC055-184	商富-184ACC	0927-407-973	06-5990473	康先生	
ACC055-185	許少齊-185ACC	0939-305-922			
ACC055-186	賴慈賢186ACC				
ACC055-187	吳先生187ACC	0935-020-079			
ACC055-188	林李龍188ACC				
ACC055-189	謝佩珊189ACC	0921-859-119			
ACC055-190	鄭庭偉190ACC	0910-270-093			
ACC055-191	張書翰191ACC	0963-126-934			
ACC055-192	陳秋源192ACC	0936-262--601			
ACC055-193	惠鳴霄193ACC	0912-378-989			
ACC055-194	林嘉惠194ACC				
ACC055-195	洪明威055-195ACC	0985-024-305	堯Line		
ACC055-196	黃正雄196ACC	0933-118-609			
ACC055-166	榛薘葳(高慈凰)055-166ACC	02-26087781	02-26087781	0925-016-547	
ACC0551661	榛薘葳(工地)	沖帳用勿刪			
ACC0551662	榛薘葳(合遠建設新天地)	沖帳用勿刪			
ACC0551664	榛薘葳(合遠建設新天地)	沖帳用勿刪			
ACC0551666	日日東森+榛薘葳				
ACC0551667	業主維修(榛薘葳)				
ACC055-167	天釧-林鑫167ACC	0918-021-934			
ACC055-168	張啟柏055-168ACC(去編683AZX)	0956-063-536			
ACC055+168	業主+張啟柏ACC				
ACC055-169	麗舍-芭樂師父169ACC	0921-615-851			
ACC055-170	邱俊豪170ACC	0933-337-738			
ACC055-171	特業171ACC	03-3597171			
ACC055-172	陳恭訊172ACC				
ACC55-172	王聖嘉172ACC				
ACC055-173	鄭水國173ACC				
ACC055-174	翁林翠174ACC	0955-333-800			
ACC55-175	樺立-王健旭175ACC	02-29282220	02-29288759	0956-663-178	
ACC055-176	彭婉如基金會176ACC	02-25216196*14	0928-833-828		
ACC055-197	陳中慶197ACC	0963-026-349			
ACC055-198	林先生(興立富業務小余介紹的)	0918-900-034			
ACC055-199	賴先生199ACC	0916-712-253			
ACC055-200	東煒建設200ACC	0910-924-133		陳先生	
ACC055-201	黃先生201ACC(興立富介紹)	0970-166-066			
ACC055-202	周先生-茶吧202ACC	02-2557-8851		周先生0972-768-759	
ACC055-203	傳昇室內裝修有限公司-203ACC	0975-705-232		徐國城0975-705-232	
ACC055-204	施靜純204ACC	0976-026-028			
ACC055-205	游璿嘉205ACC				
ACC055-206	黃豐宏206ACC				
ACC055-207	李玠樺207ACC	0989-840-420	婷萱.林姊Line	李玠樺0989-840-420	
ACC055-208	廖茹屏208ACC	0952-501-107			
ACC055-209	派出所209ACC	老大的朋友			
ACC055-210	謝先生210ACC	0933-575-124			
ACC055-211	湛羽211ACC	02-55994969	02-55746159		
ACC055-212	唐裕212ACC	0939-362-659	孫先生	阿堯的客戶	
ACC055-213	興立富小彥介紹(陳小姐213ACC	0922-351-516	02-2219-5041		
ACC055-214	邱先生(陳文賢介紹)214ACC				
ACC055-215	吳明哲215ACC	0926-505-102			
ACC055-216	鄭小姐216ACC	0939-177-343	christin0407@yahoo.com.tw		
ACC055-217	何小姐217ACC	0972-055-313			
ACC055-218	誠龍055-218ACC	02-26086353	02-26086167	劉瀟懷0986-889252	
ACC055-219	藍仁055-219ACC	02-22519923	02-22515282	李'R0922-999393	
ACC055-220	姜智仁055-220ACC	0988-935-711			
ACC055-221	李雅芬055-221ACC	0920-233788			
ACC055-222	睦霖055-222ACC	02-27996801	02-27997639	王宏和0910-196-630	
ACC055-223	竣浩居家055-223ACC	0935-524-505	吳小姐		
ACC055-224	楊家斌的大姐055-224ACC	楊家斌0977-087-192			
ACC055-225	蔡和評055-225ACC	0937-764-937			
ACC055-226	蔡政豪055-226ACC	0926-866-347			
ACC055-227	陳貴梅055-227ACC	0933-256489			
ACC055-228	張先生055-228ACC	0935-573468			
ACC055-229	阿泰055-229ACC	0984-127-749			
ACC055-230	麗卿姐055-230ACC			(非陳姐XD)	
ACC055-231	王冠堯055-231ACC	0985-980568			
ACC055-232	賴先生055-232ACC	0917-793-678			
ACC055-233	黃進安055-233ACC	0952-982-293			
ACC055-234	興立富介紹江小姐055-234ACC	02-77293866	02-27616733	0927-189068	
ACC055-235	吳國良055-235ACC	0910-132597			
ACC055-236	顏國裕+劉麗琴055-236ACC	0952-835130			
ACC055-237	蔡紀樺055-237ACC				
ACC055-238	屈家弘055-238ACC	0916-304927			
ACC055-239	黃先生055-239ACC	0939-287838	02-22398613		
ACC055-240	邱福順建築師事務所055-240ACC	03-3014033	"堯.頻Line(方先生)
萱Line(李洋城)"		
ACC055-241	蔣先生055-241ACC				
ACC055-242	吳振芳055-242ACC	0932-134408			
ACC055-243	一屋二瓦055-243ACC	何S 0918-184-766 			
ACC055-244	朱亦翰244ACC				
ACC055-245	劉威廉245ACC				
ACC055-246	林先生246ACC				
ACC055-247	邱小姐247ACC	0989-368-000			
ACC055--248	盛瑭禹小姐	0925-061-070			
ACC055--249	興立富小余介紹李小姐055-249ACC	0921-967100			
ACC055--250	郭素衣-055-250ACC	02-27786269	02-27786728	0928-126083	
ACC055--251	龍禾鍾小姐055-251ACC	0918-176767			
ACC055--252	張大緯055-252ACC				
ACC055--253	胡紹緯055-253ACC	0925-526998			
ACC055--254	楊先生055-254ACC	0987-356449			
ACC055--255	十一日晴055-255ACC				
ACC055--256	瓦居設計055-256ACC			黃小姐	
ACC055--257	三倆三055-257ACC	02-27665323	02-27667323		
ACC055--258	興立富介紹KJ055-258ACC			張先生0935-017142	
ACC055--259	禾樹設計-055-259ACC			葉S0918-416311	
ACC055--260	葉先生-055-260ACC				
ACC055--261	興立富-小潘055-261ACC				
ACC055--262	黃小姐055-262ACC	0909-051651			
ACC055-263	發哥055-263ACC	0933-137188			
ACC055-264	興立富介紹-久實室內裝修264	0930-222-205			
ACC055-265	遠企吳副理-265ACC				
ACC055-266	張昱凱(駩鑫)55-266ACC	0905-283-117			
ACC055-267	居曄土木包工業有限公司(小美)				
ACC055-268	許先生0935-460-608	0935-460-608	0935-460-608		
ACC055-269	小郭055-269(老大認識的)	0930-052478			
ACC055-270	葉騰陽055-270(貴嘉工作室)	0987-288208			
ACC055-271	熊先生055-271ACC				
ACC055-272	陳一鳴272ACC				
ACC055-273	廖小姐055-273(興立富介紹)	0933-921964			
ACC055-274	尤先生055-274(柏迪消費者)	0919-997998			
ACC055-275	藍小姐(之前大雅藍經理)275ACC	03-3830033		藍小姐0978976069	
ACC055-286	度間設計286ACC	02-77293216	02-23259022	0937-003-562	
ACC055-287	賴彥銍055-287ACC				
ACC055-288	晶瑞055-288ACC	02-26006950		需先匯款才能調料	82789125倢
ACC055-288-01	業主維修(小蔣個人案)				
ACC055-289	陳恭訊289ACC				
ACC055-290	蘇成-文華設計290ACC				
ACC055-291	廖晉055-291ACC	0970-059-450	堯line		
ACC055-291-1	天颺企業社055-291-1ACC	廖晉0970-059-450			
ACC055-292	林勝清055-292ACC	0989-698-815			
ACC055-293	郭建丰0930-052-478ACC	0930-052-478			
ACC055-294	合祥業務 張小姐ACC	0913-623-366			
ACC055-295	衍伸企業社(黎禹伸)ACC055-295	0937-008-850			
ACC055-296	林玉峯ACC055-296ACC	0930-088-617			
ACC055-297	吳佳玲(森田)297ACC	0988-052-817			
ACC055-298	優磊298ACC				
ACC055-299	表餐道業主299ACC				
ACC055-300	劉李廣先生300ACC	0958-158-968			
ACC055-301	弘泰-301ACC	03-4617933	03-4617936		
ACC055-302	張家翔302ACC	0929-573-322			
ACC055-303	宗益303ACC	0917-253-245			
ACC055-304	蘇成-介紹禾禾居設計304ACC				
ACC055-305	雅登-史先生055-305ACC				
ACC-055-306	蘇成介紹-業主黃小姐306ACC				
ACC-055-307	蘇成介紹-禾禾居設計307ACC				
ACC-055-308	雅登史先生的朋友308ACC				
ACC-055-309	郭先生309ACC	0935-889-393			
ACC-055-310	興立富310ACC	02-23250289	02-23250279		
ACC055-310	何正珍055-310ACC	0960-757-598			
ACC055-311	歐德-邱鈺珊311ACC	0987-245-261		如果是要+6%的 去編在509	
ACC055-312	顏秋佩55-312ACC	老大的妹妹			
ACC055-313	拾初建設313ACC-蘇成介紹	02-2331-1235		劉彥志0920-561-255	
ACC055-314	江家文314ACC	0911-303-722			
ACC055-315	黃伯暐315ACC(林姊富堡鄰居)	0961-081-666	林姐line		
ACC055-316	王記汽車(喬世室內設計316ACC)	03-2227550		朱霈晴0921-939-079	
ACC055-317	高佩璿055-317ACC	0958-797-636	Line群		
ACC055-317-01	業主維修(高佩璿)317-01ACC				
ACC055-318	創快設計-毛顯孝318ACC	0910-005-540			
ACC055-319	鄭先生319ACC(業主)	0910-208-238			
ACC055-320	詹玉美(連程)55-320ACC	0923-664-212	line		
ACC055-320-03	木木嘉(詹玉美案件)320-03ACC				
ACC055-321	艾沐室內裝修(原拓設計)321ACC	02-2279-2968	02-2279-5028	程嘉羚0921-189-786	
ACC055-322	粘竣傑322ACC	0937-833-082			
ACC055+322	廖晉自己家322ACC	沖帳用,勿刪			
ACC055-323	寶麗新323ACC	02-8295-0987	02-2293-3844	陳子維0933-750-414	
ACC055-324	兆威324ACC	0978-353-000			
ACC055-325	石億325ACC	03-2114422	03-2114507		
ACC055-326	文華設計黃曉雯055-326ACC	0939-889-876	萱LINE	(蘇成介紹)	
ACC055-327	林毅修的朋友327ACC	0972-778-555			
ACC055-328	羅康仁055-328ACC				
ACC055-329	創研設計(何俊宏)329ACC-蘇成介紹				
ACC055-330	傑紅郭小姐介紹-洪小姐330ACC	0920-547-648			
ACC055-331	李博緯(原紀勝騰)055-331ACC	0956-889-981			
ACC055-332	阿雀的女兒332ACC				
ACC055-333	沐槿空間(葉昱慶)333ACC--蘇成介紹	0932-796-846			
ACC055-334	業主-周幼奇334ACC				
ACC055-335	陳莉莉55-335ACC	0952-290-939			
ACC055-336	余小菁55-336ACC				
ACC055-337	蘇成介紹業主賴先生337ACC	0919-222-001			
ACC055-338	柳齡雁(鉑綝室內裝修)55-338ACC	0930-565-235			
ACC055-339	傢櫥業主楊聖時339ACC	0939-580-561			
ACC055-339-01	傢櫥吳彥康339-01ACC	0912-399-094			
ACC055-340	陳設計師55-340ACC	0913-613-890			
ACC055-341	蔡雅雅55-341ACC				
ACC055-342	陳俞親(日工)55-342ACC	0930-594-026			
ACC055-343	無設計-劉巧涵55-343ACC-蘇成介紹	0921-437-565			
ACC055-344	二樓宿舍344ACC				
ACC055-345	半園空間設計345ACC	02-23935511			
ACC055-346	阿廣的簡師傅55-346ACC	0989-813-011	02-23935510	吳宜倫0912-071-876	
ACC055-347	浤富實業(石材廠)347ACC	02-2619-5039			
ACC055-348	鄭太太-台南利誠客戶348ACC		02-2619-5037	施冠宇0930-887-857	
ACC055-349	林鈺芸(林姐姪女)55-349ACC	0985-825-121			
ACC055-350	祐實室內設計55-350ACC	02-2215-1370			
ACC055-351	吳政佑的女兒55-351ACC		02-2215-1390		
ACC055-352	洪小嘉055-352ACC	0911-037-611		(原本在闊石)	
ACC055-353	李文廣055-353ACC	0966-233-820			
ACC055-354	瑪摩石業務055-354ACC				
ACC055-355	陳德偉055-355ACC	0905-139-589	03-3025115		
ACC055-356	侘米設計-洪靜玟055-356ACC	0978-093-938			
ACC055-357	鄭緯鵬(鍾志慧介紹)055-357ACC	0936-058-401	林姐.婷萱Line		阜云實業70376697
ACC055-358	陳昭惠055-358ACC(歐羽哲介紹業主)	0975-382-333			
ACC055-359	陳奕嘉055-359ACC	林姐Line			
ACC055-360	時刻建築(白千勺)055-360ACC	0939-954-903	林姊Line		
ACC055-361	黃士瀚055-361ACC	0984-466-052	林姊Line		
ACC055-362	張越筑(夢想家介紹設計師)055-362ACC	0989-313-523	婷萱Line		
ACC055-363	鴻昇石材055-363ACC	03-3463132		楊先生0972-424-606	
ACC055-364	互誠實業(陳郅豪介紹)364ACC	02-2760-2266	02-2761-4152	范棠智0919-549-770	統編27773942
ACC055-365	吾居宿室內裝修055-365ACC(吉寶案場直對設計師)	0911-830-847			統編90010182
ACC055-366	捷合科技055-366ACC	02-2658-9979	02-2658-7797	龍哥連絡何孟諺	
ACC055-367	伸美055-367ACC	03-359-7171	03-359-7272		
